날짜,시도,측정소,PM10,PM25
2016-01-03,서울,구로구,130,77
2016-01-04,서울,구로구,128,84
2016-01-05,서울,구로구,32,18
2016-01-06,서울,구로구,62,27
2016-01-07,서울,구로구,59,26
2016-01-08,서울,구로구,35,19
2016-01-09,서울,구로구,37,18
2016-01-10,서울,구로구,31,23
2016-01-11,서울,구로구,45,24
2016-01-12,서울,구로구,49,15
2016-01-13,서울,구로구,33,13
2016-01-14,서울,구로구,36,22
2016-01-15,서울,구로구,65,43
2016-01-16,서울,구로구,60,45
2016-01-17,서울,구로구,87,71
2016-01-18,서울,구로구,89,84
2016-01-19,서울,구로구,25,10
2016-01-20,서울,구로구,35,22
2016-01-21,서울,구로구,49,33
2016-01-22,서울,구로구,41,18
2016-01-23,서울,구로구,23,10
2016-01-24,서울,구로구,30,12
2016-01-25,서울,구로구,75,23
2016-01-26,서울,구로구,87,34
2016-01-27,서울,구로구,77,33
2016-01-28,서울,구로구,79,34
2016-01-29,서울,구로구,69,41
2016-01-30,서울,구로구,69,36
2016-01-31,서울,구로구,54,23
2016-01-01,서울,영등포구,110,59
2016-01-02,서울,영등포구,84,39
2016-01-03,서울,영등포구,182,88
2016-01-04,서울,영등포구,179,85
2016-01-05,서울,영등포구,50,26
2016-01-06,서울,영등포구,86,40
2016-01-07,서울,영등포구,77,34
2016-01-08,서울,영등포구,51,24
2016-01-09,서울,영등포구,50,26
2016-01-10,서울,영등포구,43,22
2016-01-11,서울,영등포구,68,28
2016-01-12,서울,영등포구,57,26
2016-01-13,서울,영등포구,44,19
2016-01-14,서울,영등포구,58,33
2016-01-15,서울,영등포구,79,45
2016-01-16,서울,영등포구,79,49
2016-01-17,서울,영등포구,111,63
2016-01-18,서울,영등포구,111,68
2016-01-19,서울,영등포구,41,16
2016-01-20,서울,영등포구,58,31
2016-01-21,서울,영등포구,72,33
2016-01-22,서울,영등포구,58,30
2016-01-23,서울,영등포구,36,16
2016-01-24,서울,영등포구,39,12
2016-01-25,서울,영등포구,91,28
2016-01-26,서울,영등포구,88,40
2016-01-27,서울,영등포구,70,31
2016-01-28,서울,영등포구,76,36
2016-01-29,서울,영등포구,68,31
2016-01-30,서울,영등포구,65,29
2016-01-31,서울,영등포구,58,29
2016-01-01,서울,동작구,77,50
2016-01-02,서울,동작구,58,41
2016-01-03,서울,동작구,154,99
2016-01-04,서울,동작구,151,96
2016-01-05,서울,동작구,37,30
2016-01-06,서울,동작구,59,42
2016-01-07,서울,동작구,57,33
2016-01-08,서울,동작구,30,16
2016-01-09,서울,동작구,38,18
2016-01-10,서울,동작구,36,19
2016-01-11,서울,동작구,29,21
2016-01-12,서울,동작구,47,28
2016-01-13,서울,동작구,30,16
2016-01-14,서울,동작구,48,27
2016-01-15,서울,동작구,73,50
2016-01-16,서울,동작구,57,43
2016-01-17,서울,동작구,62,44
2016-01-18,서울,동작구,82,52
2016-01-19,서울,동작구,22,13
2016-01-20,서울,동작구,36,25
2016-01-21,서울,동작구,49,30
2016-01-22,서울,동작구,52,34
2016-01-23,서울,동작구,17,11
2016-01-24,서울,동작구,28,9
2016-01-25,서울,동작구,56,18
2016-01-26,서울,동작구,62,41
2016-01-27,서울,동작구,61,35
2016-01-28,서울,동작구,61,36
2016-01-29,서울,동작구,54,33
2016-01-30,서울,동작구,61,36
2016-01-31,서울,동작구,53,30
2016-01-01,서울,관악구,103,73
2016-01-02,서울,관악구,70,45
2016-01-03,서울,관악구,117,84
2016-01-04,서울,관악구,113,90
2016-01-05,서울,관악구,38,24
2016-01-06,서울,관악구,61,30
2016-01-07,서울,관악구,50,30
2016-01-08,서울,관악구,38,23
2016-01-09,서울,관악구,39,24
2016-01-10,서울,관악구,39,27
2016-01-11,서울,관악구,55,33
2016-01-12,서울,관악구,51,31
2016-01-13,서울,관악구,36,23
2016-01-14,서울,관악구,47,30
2016-01-15,서울,관악구,65,46
2016-01-16,서울,관악구,65,44
2016-01-17,서울,관악구,83,59
2016-01-18,서울,관악구,86,61
2016-01-19,서울,관악구,29,14
2016-01-20,서울,관악구,40,25
2016-01-21,서울,관악구,54,34
2016-01-22,서울,관악구,54,34
2016-01-23,서울,관악구,30,17
2016-01-24,서울,관악구,35,15
2016-01-25,서울,관악구,64,25
2016-01-26,서울,관악구,80,52
2016-01-27,서울,관악구,77,49
2016-01-28,서울,관악구,67,41
2016-01-29,서울,관악구,58,35
2016-01-30,서울,관악구,54,33
2016-01-31,서울,관악구,54,37
2016-01-01,서울,강남구,100,67
2016-01-02,서울,강남구,67,39
2016-01-03,서울,강남구,152,97
2016-01-04,서울,강남구,148,90
2016-01-05,서울,강남구,44,22
2016-01-06,서울,강남구,69,31
2016-01-07,서울,강남구,67,30
2016-01-08,서울,강남구,43,19
2016-01-09,서울,강남구,40,19
2016-01-10,서울,강남구,27,16
2016-01-11,서울,강남구,61,27
2016-01-12,서울,강남구,61,29
2016-01-13,서울,강남구,46,25
2016-01-14,서울,강남구,50,34
2016-01-15,서울,강남구,76,41
2016-01-16,서울,강남구,71,43
2016-01-17,서울,강남구,85,56
2016-01-18,서울,강남구,75,45
2016-01-19,서울,강남구,34,16
2016-01-20,서울,강남구,56,28
2016-01-21,서울,강남구,71,37
2016-01-22,서울,강남구,74,35
2016-01-23,서울,강남구,27,12
2016-01-24,서울,강남구,39,11
2016-01-25,서울,강남구,83,24
2016-01-26,서울,강남구,87,48
2016-01-27,서울,강남구,72,38
2016-01-28,서울,강남구,74,35
2016-01-29,서울,강남구,66,33
